Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1870       13528      0          7741       7.23
structure_refs      734        126        0          4          0.17
biomes              734        86         0          8          0.12
terrain             734        2090       1          176        2.85
surface             734        934        0          35         1.27
air_carvers         734        3009       0          2216       4.10
fluid_carvers       734        220        0          22         0.30
decoration          628        14214      7          271        22.63
mob_spawns          530        229        0          54         0.43
structure_searches  0          0          0          0          0.00
Sum                                                             39.11
