Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1271       6666       0          5135       5.24
structure_refs      159        44         0          3          0.28
biomes              159        18         0          4          0.11
terrain             159        567        1          15         3.57
surface             159        204        0          16         1.28
air_carvers         159        138        0          8          0.87
fluid_carvers       159        56         0          18         0.35
decoration          74         1228       6          98         16.59
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             28.30
